{'loss': 0.9255, 'grad_norm': 0.09501070529222488, 'learning_rate': 1.5151515151515153e-05, 'epoch': 0.23}
{'loss': 0.9081, 'grad_norm': 0.09207023680210114, 'learning_rate': 1.9987678953237125e-05, 'epoch': 0.23}
{'loss': 0.9106, 'grad_norm': 0.105892613530159, 'learning_rate': 1.9986673779181033e-05, 'epoch': 0.23}
{'loss': 0.9007, 'grad_norm': 0.08443858474493027, 'learning_rate': 1.9985629222241692e-05, 'epoch': 0.23}
{'loss': 0.9032, 'grad_norm': 0.1068165972828865, 'learning_rate': 1.9984545286538362e-05, 'epoch': 0.23}
{'loss': 0.923, 'grad_norm': 0.08704522252082825, 'learning_rate': 1.9983421976345588e-05, 'epoch': 0.23}
{'loss': 0.9247, 'grad_norm': 0.09760713577270508, 'learning_rate': 1.9982259296093192e-05, 'epoch': 0.24}
{'loss': 0.9123, 'grad_norm': 0.09532536566257477, 'learning_rate': 1.9981057250366253e-05, 'epoch': 0.24}
{'loss': 0.9111, 'grad_norm': 0.10949525237083435, 'learning_rate': 1.9979815843905098e-05, 'epoch': 0.24}
{'loss': 0.9156, 'grad_norm': 0.10613730549812317, 'learning_rate': 1.997853508160526e-05, 'epoch': 0.24}
{'loss': 0.9101, 'grad_norm': 0.08724991977214813, 'learning_rate': 1.997721496851748e-05, 'epoch': 0.24}
{'loss': 0.898, 'grad_norm': 0.10608368366956711, 'learning_rate': 1.9975855509847688e-05, 'epoch': 0.24}
{'loss': 0.9137, 'grad_norm': 0.10077979415655136, 'learning_rate': 1.9974456710956965e-05, 'epoch': 0.24}
{'loss': 0.9148, 'grad_norm': 0.09279976785182953, 'learning_rate': 1.9973018577361536e-05, 'epoch': 0.24}
{'loss': 0.9101, 'grad_norm': 0.10561449825763702, 'learning_rate': 1.9971541114732743e-05, 'epoch': 0.24}
{'loss': 0.9177, 'grad_norm': 0.09602121263742447, 'learning_rate': 1.997002432889702e-05, 'epoch': 0.25}
{'loss': 0.9021, 'grad_norm': 0.10627608001232147, 'learning_rate': 1.996846822583589e-05, 'epoch': 0.25}
{'loss': 0.9105, 'grad_norm': 0.10555480420589447, 'learning_rate': 1.99668728116859e-05, 'epoch': 0.25}
{'loss': 0.9024, 'grad_norm': 0.10830619186162949, 'learning_rate': 1.9965238092738643e-05, 'epoch': 0.25}
{'loss': 0.9033, 'grad_norm': 0.09816084057092667, 'learning_rate': 1.9963564075440706e-05, 'epoch': 0.25}
{'loss': 0.9193, 'grad_norm': 0.10016981512308121, 'learning_rate': 1.996185076639364e-05, 'epoch': 0.25}
{'loss': 0.9034, 'grad_norm': 0.0967983677983284, 'learning_rate': 1.9960098172353963e-05, 'epoch': 0.25}
{'loss': 0.9055, 'grad_norm': 0.0961403176188469, 'learning_rate': 1.99583063002331e-05, 'epoch': 0.25}
{'loss': 0.8955, 'grad_norm': 0.09877919405698776, 'learning_rate': 1.995647515709738e-05, 'epoch': 0.25}
{'loss': 0.9098, 'grad_norm': 0.09850312769412994, 'learning_rate': 1.9954604750167995e-05, 'epoch': 0.26}
{'loss': 0.919, 'grad_norm': 0.12763208150863647, 'learning_rate': 1.9952695086820975e-05, 'epoch': 0.26}
{'loss': 0.915, 'grad_norm': 0.10936152935028076, 'learning_rate': 1.9950746174587163e-05, 'epoch': 0.26}
{'loss': 0.9064, 'grad_norm': 0.11600853502750397, 'learning_rate': 1.9948758021152178e-05, 'epoch': 0.26}
{'loss': 0.9062, 'grad_norm': 0.13517723977565765, 'learning_rate': 1.994673063435639e-05, 'epoch': 0.26}
{'loss': 0.9031, 'grad_norm': 0.11081593483686447, 'learning_rate': 1.9944664022194886e-05, 'epoch': 0.26}
{'loss': 0.8994, 'grad_norm': 0.14334581792354584, 'learning_rate': 1.994255819281744e-05, 'epoch': 0.26}
{'loss': 0.9045, 'grad_norm': 0.20623815059661865, 'learning_rate': 1.994041315452849e-05, 'epoch': 0.26}
{'loss': 0.8999, 'grad_norm': 0.12399701774120331, 'learning_rate': 1.993822891578708e-05, 'epoch': 0.27}
{'loss': 0.9031, 'grad_norm': 0.12794668972492218, 'learning_rate': 1.9936005485206853e-05, 'epoch': 0.27}
{'loss': 0.9073, 'grad_norm': 0.1526854783296585, 'learning_rate': 1.9933742871556e-05, 'epoch': 0.27}
{'loss': 0.9008, 'grad_norm': 0.13078121840953827, 'learning_rate': 1.9931441083757246e-05, 'epoch': 0.27}
{'loss': 0.8868, 'grad_norm': 0.1123068779706955, 'learning_rate': 1.9929100130887782e-05, 'epoch': 0.27}
{'loss': 0.8856, 'grad_norm': 0.14390578866004944, 'learning_rate': 1.992672002217926e-05, 'epoch': 0.27}
{'loss': 0.8904, 'grad_norm': 0.09194513410329819, 'learning_rate': 1.992430076701775e-05, 'epoch': 0.27}
{'loss': 0.8945, 'grad_norm': 0.12615686655044556, 'learning_rate': 1.9921842374943682e-05, 'epoch': 0.27}
{'loss': 0.8972, 'grad_norm': 0.1263113021850586, 'learning_rate': 1.9919344855651834e-05, 'epoch': 0.27}
{'loss': 0.8909, 'grad_norm': 0.11169537156820297, 'learning_rate': 1.9916808218991282e-05, 'epoch': 0.28}
{'loss': 0.9101, 'grad_norm': 0.10635717958211899, 'learning_rate': 1.9914232474965364e-05, 'epoch': 0.28}
{'loss': 0.9042, 'grad_norm': 0.11538734287023544, 'learning_rate': 1.991161763373164e-05, 'epoch': 0.28}
{'loss': 0.9025, 'grad_norm': 0.11479613184928894, 'learning_rate': 1.9908963705601848e-05, 'epoch': 0.28}
{'loss': 0.8931, 'grad_norm': 0.10233741253614426, 'learning_rate': 1.990627070104187e-05, 'epoch': 0.28}
{'loss': 0.8916, 'grad_norm': 0.10828831046819687, 'learning_rate': 1.9903538630671687e-05, 'epoch': 0.28}
{'loss': 0.9076, 'grad_norm': 0.09877657145261765, 'learning_rate': 1.9900767505265342e-05, 'epoch': 0.28}
{'loss': 0.9056, 'grad_norm': 0.11908642202615738, 'learning_rate': 1.989795733575088e-05, 'epoch': 0.28}
{'loss': 0.8869, 'grad_norm': 0.11160986870527267, 'learning_rate': 1.9895108133210334e-05, 'epoch': 0.28}
{'loss': 0.882, 'grad_norm': 0.10419251769781113, 'learning_rate': 1.9892219908879652e-05, 'epoch': 0.29}
{'loss': 0.8965, 'grad_norm': 0.11842483282089233, 'learning_rate': 1.9889292674148682e-05, 'epoch': 0.29}
{'loss': 0.9057, 'grad_norm': 0.12575840950012207, 'learning_rate': 1.988632644056109e-05, 'epoch': 0.29}
{'loss': 0.8864, 'grad_norm': 0.1050589308142662, 'learning_rate': 1.988332121981436e-05, 'epoch': 0.29}
{'loss': 0.8968, 'grad_norm': 0.12081432342529297, 'learning_rate': 1.98802770237597e-05, 'epoch': 0.29}
{'loss': 0.9069, 'grad_norm': 0.11847777664661407, 'learning_rate': 1.9877193864402036e-05, 'epoch': 0.29}
{'loss': 0.8933, 'grad_norm': 0.10563264787197113, 'learning_rate': 1.987407175389994e-05, 'epoch': 0.29}
{'loss': 0.8981, 'grad_norm': 0.1082010567188263, 'learning_rate': 1.987091070456559e-05, 'epoch': 0.29}
{'loss': 0.885, 'grad_norm': 0.10635551810264587, 'learning_rate': 1.9867710728864723e-05, 'epoch': 0.29}
{'loss': 0.9023, 'grad_norm': 0.1098112016916275, 'learning_rate': 1.9864471839416576e-05, 'epoch': 0.3}
{'loss': 0.8812, 'grad_norm': 0.1174832209944725, 'learning_rate': 1.9861194048993865e-05, 'epoch': 0.3}
{'loss': 0.8828, 'grad_norm': 0.10912469029426575, 'learning_rate': 1.9857877370522686e-05, 'epoch': 0.3}
{'loss': 0.8854, 'grad_norm': 0.11395537108182907, 'learning_rate': 1.985452181708251e-05, 'epoch': 0.3}
{'loss': 0.8928, 'grad_norm': 0.1161375567317009, 'learning_rate': 1.985112740190611e-05, 'epoch': 0.3}
{'loss': 0.8915, 'grad_norm': 0.11922445148229599, 'learning_rate': 1.9847694138379508e-05, 'epoch': 0.3}
{'loss': 0.875, 'grad_norm': 0.10915890336036682, 'learning_rate': 1.9844222040041926e-05, 'epoch': 0.3}
{'loss': 0.881, 'grad_norm': 0.12254739552736282, 'learning_rate': 1.984071112058574e-05, 'epoch': 0.3}
{'loss': 0.8837, 'grad_norm': 0.1300690919160843, 'learning_rate': 1.9837161393856413e-05, 'epoch': 0.3}
{'loss': 0.8887, 'grad_norm': 0.09893016517162323, 'learning_rate': 1.9833572873852446e-05, 'epoch': 0.31}
{'loss': 0.888, 'grad_norm': 0.13930416107177734, 'learning_rate': 1.982994557472532e-05, 'epoch': 0.31}
{'loss': 0.9051, 'grad_norm': 0.12098444998264313, 'learning_rate': 1.9826279510779454e-05, 'epoch': 0.31}
{'loss': 0.8778, 'grad_norm': 0.14505694806575775, 'learning_rate': 1.9822574696472127e-05, 'epoch': 0.31}
{'loss': 0.8829, 'grad_norm': 0.10439754277467728, 'learning_rate': 1.9818831146413435e-05, 'epoch': 0.31}
{'loss': 0.8861, 'grad_norm': 0.15085873007774353, 'learning_rate': 1.9815048875366234e-05, 'epoch': 0.31}
{'loss': 0.8874, 'grad_norm': 0.11605117470026016, 'learning_rate': 1.9811227898246072e-05, 'epoch': 0.31}
{'loss': 0.8922, 'grad_norm': 0.12918224930763245, 'learning_rate': 1.980736823012114e-05, 'epoch': 0.31}
{'loss': 0.8804, 'grad_norm': 0.10156707465648651, 'learning_rate': 1.980346988621221e-05, 'epoch': 0.32}
{'loss': 0.8763, 'grad_norm': 0.11904871463775635, 'learning_rate': 1.9799532881892564e-05, 'epoch': 0.32}
{'loss': 0.8949, 'grad_norm': 0.10968077927827835, 'learning_rate': 1.9795557232687956e-05, 'epoch': 0.32}
{'loss': 0.8852, 'grad_norm': 0.12042377144098282, 'learning_rate': 1.979154295427653e-05, 'epoch': 0.32}
{'loss': 0.8993, 'grad_norm': 0.11590193212032318, 'learning_rate': 1.978749006248877e-05, 'epoch': 0.32}
{'loss': 0.8805, 'grad_norm': 0.11963103711605072, 'learning_rate': 1.978339857330743e-05, 'epoch': 0.32}
{'loss': 0.8975, 'grad_norm': 0.14002761244773865, 'learning_rate': 1.9779268502867474e-05, 'epoch': 0.32}
{'loss': 0.8779, 'grad_norm': 0.13112515211105347, 'learning_rate': 1.9775099867456013e-05, 'epoch': 0.32}
{'loss': 0.8865, 'grad_norm': 0.11592268943786621, 'learning_rate': 1.977089268351225e-05, 'epoch': 0.32}
{'loss': 0.8748, 'grad_norm': 0.1299838423728943, 'learning_rate': 1.9766646967627393e-05, 'epoch': 0.33}
{'loss': 0.8746, 'grad_norm': 0.15986162424087524, 'learning_rate': 1.9762362736544606e-05, 'epoch': 0.33}
